symbol	log2FoldChange	padj
C8orf4	0.780272173	2.19E-07
MT-CYB	-0.658818708	2.52E-07
RPL34	-1.032400073	3.03E-07
PRICKLE1	-0.552215797	3.43E-07
NA	-1.580370893	3.43E-07
SNRK	0.656599605	3.43E-07
NDUFB9	-0.892339028	3.46E-07
TNIP1	0.571074245	3.46E-07
MINOS1	-0.972575877	3.69E-07
TXNDC17	-0.958482926	3.69E-07
MT-ATP6	-0.686799053	4.09E-07
COX8A	-0.968438017	4.39E-07
ATP5I	-1.311642037	4.39E-07
RPS19	-1.03122442	4.49E-07
COX6B1	-0.981292581	4.53E-07
PLAU	-0.54563487	4.58E-07
NPTX1	1.605382143	4.59E-07
RPLP1	-0.935397078	4.83E-07
SELE	-1.731259047	4.86E-07
ACKR4	1.021880151	5.01E-07
ZNF160	0.785632977	5.23E-07
RPL38	-1.181391659	5.61E-07
RPL36AL	-0.946834974	5.95E-07
SULT1A4	-2.64296292	5.96E-07
SULT1A4	-2.64296292	5.96E-07
ITPKB	0.525168387	6.14E-07
RPS26	-0.997391319	6.62E-07
RPS26	-0.997391319	6.62E-07
RUNDC1	0.749742192	6.67E-07
CCNG2	0.722386366	7.28E-07
AGFG2	0.709023868	8.30E-07
STOM	0.492919943	8.68E-07
ALKBH5	0.460475973	8.68E-07
ANKRD1	-0.573011955	8.92E-07
FAU	-0.994134043	9.51E-07
TSPAN14	0.414063568	9.96E-07
MT1L	-1.155287743	1.11E-06
RPL36	-1.009660819	1.11E-06
NDUFS5	-0.857202117	1.16E-06
RSRP1	0.470349671	1.17E-06
NDUFB2	-1.019092839	1.17E-06
NDUFB3	-0.755254424	1.30E-06
TMEM258	-1.02989436	1.37E-06
MAGOH	-0.831793744	1.37E-06
RNF145	0.520920501	1.37E-06
SNHG15	-1.106385501	1.45E-06
NDUFA4	-0.937130308	1.46E-06
VLDLR	0.928978486	1.46E-06
RPL23	-0.869473343	1.55E-06
PLOD2	0.795162439	1.68E-06
MRPL52	-0.815716366	1.69E-06
ABHD4	0.507301579	1.70E-06
RPS20	-0.889037717	1.79E-06
GALNT4	0.787965226	2.08E-06
FBLN2	1.08599825	2.22E-06
CAVIN2	0.435057152	2.26E-06
CLDN3	1.655708291	2.30E-06
RNF144B	0.577713493	2.45E-06
ZFAS1	-0.993947543	2.49E-06
RPL37A	-1.063606227	2.65E-06
PPP1R10	0.686614115	2.72E-06
ATP5E	-1.083432251	2.80E-06
LHX6	0.464650179	2.98E-06
RPL30	-0.913176324	3.25E-06
TFRC	-0.744664085	3.38E-06
RPL27A	-0.884276359	3.40E-06
NDUFA1	-0.997286635	3.50E-06
SNHG5	-1.013753002	3.59E-06
PLEKHA2	0.963778879	3.78E-06
COX17	-1.20108064	3.86E-06
RPL41	-0.834574368	3.86E-06
S1PR3	-0.637002288	3.86E-06
RPL24	-0.840436753	3.98E-06
DCAF11	0.550512278	4.03E-06
SLIRP	-1.008672402	4.36E-06
COMMD6	-1.230025896	4.67E-06
TOMM5	-0.777051412	5.67E-06
TNFRSF1B	0.759778911	5.72E-06
MGP	-0.964832985	5.96E-06
AC116533.1	-0.007699745	6.01E-06
TMSB10	-0.9860253	6.04E-06
INPP5D	0.545109566	6.37E-06
MGST3	-0.930478434	6.41E-06
NDUFC2	-0.953438567	6.62E-06
CASP3	0.55377905	6.90E-06
RPL37	-1.052095648	6.90E-06
AC015813.2	-1.691777838	6.90E-06
WWTR1	0.588812147	6.94E-06
COX7C	-0.9308855	7.11E-06
PTGS1	0.426249933	7.14E-06
NOP16	-0.776199158	7.31E-06
SNRPE	-0.937486757	7.32E-06
EGR1	-1.104646459	7.48E-06
APP	0.387941758	7.72E-06
ATPIF1	-0.842286275	8.07E-06
RPS7	-0.81179634	8.07E-06
S100A6	-0.802346532	8.08E-06
C1orf21	0.80201173	8.14E-06
RPL21	-0.986722615	8.32E-06
TSPAN18	0.74938334	8.32E-06
TMEM63B	0.678201465	8.38E-06
UQCRQ	-1.046440512	8.78E-06
S100A13	-0.875219304	8.78E-06
BLCAP	0.492978165	9.10E-06
COPS9	-0.989170424	9.33E-06
TXN	-0.828265074	9.49E-06
SMARCA2	0.429937269	9.68E-06
COA4	-0.67814357	1.06E-05
AC024909.3	1.098749826	1.10E-05
MZT2B	-0.958704865	1.15E-05
PCDH10	0.559217317	1.15E-05
DDT	-0.906701218	1.19E-05
DDT	-0.906701218	1.19E-05
BACH1	1.006377381	1.29E-05
BACH1	1.006377381	1.29E-05
RETREG2	0.490961609	1.31E-05
ATP5J	-0.822768393	1.31E-05
MT2A	-0.982776304	1.31E-05
PDK1	0.980134423	1.31E-05
MRPL27	-0.743653475	1.37E-05
SPIN4	0.806027682	1.38E-05
RPL36A	-1.018323024	1.46E-05
CPOX	0.422015878	1.49E-05
PET100	-1.275809824	1.55E-05
CSTB	-0.776370008	1.57E-05
ZFP36L2	0.462524923	1.57E-05
SSBP1	-0.573724438	1.57E-05
APLP2	0.37230243	1.57E-05
MT-ND4	-0.592642895	1.57E-05
ZMYND8	0.721854069	1.58E-05
UCK2	-0.556446465	1.65E-05
AC002480.2	0.631066738	1.69E-05
ELOC	-0.697437665	1.71E-05
MOB3A	0.539734096	1.75E-05
MT1E	-1.069829578	1.87E-05
SNX33	0.548872325	1.94E-05
UBE2T	-0.891121317	2.04E-05
NDUFC1	-0.782541328	2.32E-05
SHB	0.65496682	2.32E-05
CU634019.1	0.047279025	2.38E-05
ATP5G3	-0.748044156	2.40E-05
SIRPA	0.397952194	2.47E-05
SNRPD2	-1.013331983	2.51E-05
SNHG19	-1.249582574	2.73E-05
COX6C	-0.835665018	2.73E-05
ELMSAN1	0.841892322	2.76E-05
SNRPD1	-0.861314356	2.77E-05
SPRY1	0.967701242	2.80E-05
CCNY	0.700039834	2.80E-05
BID	-0.734292718	2.85E-05
ERO1A	0.698195954	2.86E-05
YPEL2	0.592811981	2.87E-05
SUPT6H	0.392379751	2.89E-05
HHIP-AS1	-0.600527054	2.89E-05
IKBKB	0.415494713	2.93E-05
JUP	0.56263835	2.97E-05
NDUFS6	-0.856821093	3.06E-05
C12orf57	-0.919759855	3.06E-05
MRPL22	-0.714249988	3.09E-05
ATOX1	-1.076155645	3.13E-05
LDHA	0.542227568	3.13E-05
KDM4B	0.493321071	3.14E-05
CLU	0.71979103	3.27E-05
RPL19	-0.686977119	3.33E-05
PTPRB	0.803022969	3.34E-05
ARHGEF37	0.610911677	3.59E-05
ETS1	0.591822116	3.79E-05
TIMM13	-0.873044224	3.79E-05
C19orf53	-0.704784398	3.83E-05
RPS18	-0.69712704	3.83E-05
CTBP2	0.350626202	3.90E-05
MED11	-0.94594005	4.02E-05
NCOA5	0.486592648	4.16E-05
RRP8	-0.589134946	4.19E-05
RPS24	-0.726862304	4.20E-05
PLK3	-0.559849262	4.30E-05
BCOR	0.749988013	4.30E-05
TMEM158	0.977412327	4.35E-05
NDUFA3	-1.212787727	4.50E-05
NNAT	0.950924427	4.50E-05
FAM219A	0.437522808	4.52E-05
IFI27L2	-0.992620656	4.53E-05
SHE	0.383772659	4.62E-05
NDUFAF8	-0.922537715	4.81E-05
CENPW	-1.075790827	4.92E-05
ISG15	-0.952850408	4.95E-05
DKK1	-0.663033884	5.17E-05
CYB5D1	0.667416389	5.28E-05
ZFP36	-0.882039591	5.37E-05
SNHG8	-1.129120582	5.38E-05
RPL31	-0.728137271	5.75E-05
KLHL3	0.690857257	5.85E-05
VOPP1	0.295622622	5.89E-05
TXNL4A	-0.711700394	5.90E-05
IFI27	-0.790503059	5.96E-05
C8orf58	0.560371306	5.98E-05
CKS2	-0.659250004	6.20E-05
RPL17	-0.702591783	6.24E-05
FRMD6	0.529988172	6.43E-05
ID3	-0.886468744	6.61E-05
ACTN1	0.392620318	6.61E-05
RXRA	0.384458081	6.89E-05
TMSB4X	-0.57656484	7.00E-05
PLCD3	0.666617194	7.19E-05
HINT1	-0.577774531	7.19E-05
KCNJ2	0.637200527	7.35E-05
PLEKHA5	0.654620345	7.73E-05
TM7SF3	0.42547411	7.90E-05
VGLL4	0.496630499	7.90E-05
C11orf98	-0.908654603	7.90E-05
TRIM56	0.410126221	8.09E-05
PPP2R5A	0.416955564	8.18E-05
RAB3IP	-0.706384207	8.28E-05
MTND2P28	-0.451337577	8.77E-05
FOXO3	0.517715048	8.77E-05
LINC01013	-0.537931378	8.89E-05
RPS10	-0.742136186	9.10E-05
RANBP10	0.419198509	9.19E-05
JCAD	0.651206737	9.39E-05
SIK1	0.96105102	9.39E-05
SERTAD4-AS1	-1.841806152	9.87E-05
GRASP	-0.527365689	9.95E-05
HOXA6	0.82228403	0.000105282
ATP5G1	-0.827764594	0.000105282
LPCAT1	0.365990519	0.000107502
SWI5	-0.800250606	0.000113525
CD63	-0.708358969	0.000113525
BOLA2B	-1.103286478	0.000114158
BOLA2B	-1.103286478	0.000114158
BOLA2B	-1.103286478	0.000114158
C14orf2	-0.861012701	0.000115587
SEMA4B	0.671937111	0.000116575
CX3CL1	-1.849076837	0.000117206
CDC26	-0.69480323	0.000117737
COX5A	-0.667432974	0.000119521
SLC25A28	-0.722326039	0.000119905
ZMIZ1	0.690071253	0.000120303
RPS11	-0.690439397	0.000121018
FAM212B	0.543145939	0.000123746
FAM212B	0.543145939	0.000123746
SLC16A1	0.548172895	0.000124764
PARK7	-0.640870021	0.000126119
TLE4	0.42441031	0.000126119
FAM189A2	0.814884146	0.000127653
MALSU1	-0.76098129	0.000127785
TLR4	0.673756553	0.000131415
VWCE	0.586238009	0.000131864
RPS12	-0.750134957	0.000133614
LRRC75A	0.549045218	0.000136799
ATP5L	-0.668813843	0.000137387
ITGAE	-0.792748883	0.00014154
RNF7	-0.499024618	0.000141749
TMEM44	0.415207214	0.000141749
RPL12	-0.633272171	0.000141749
LSM7	-0.923978108	0.00014452
TRIB2	0.428414466	0.000144808
SULF2	0.604412155	0.000145807
WASL	0.553872038	0.000148237
RPS17	-0.675522924	0.000148588
NDUFV2	-0.596504369	0.000148588
TIMM8B	-0.811326091	0.000148588
RPL39	-0.797142492	0.000148983
PUS1	-0.607340323	0.00015052
C15orf52	0.591461739	0.0001603
SNPH	0.479634207	0.000161401
RPS16	-0.751127198	0.000167224
MGST1	-0.507524433	0.00016796
VASH1	0.419885055	0.000168697
TIMM10	-0.931465652	0.000176816
C15orf54	0.717545071	0.000177729
LIMD1	0.62248426	0.000185389
SNRPF	-0.699803007	0.000185425
TRIM8	0.380172793	0.000185425
ROMO1	-0.946391999	0.000187828
EVA1A	-0.573247493	0.0001883
EHD2	0.349183666	0.000195953
UQCC2	-0.633544463	0.000200548
DNAJC17	-0.842432416	0.000201497
AC099548.2	0.536214179	0.000201537
RPS13	-0.659307537	0.00020542
RAP2B	0.395750854	0.00020542
GSTP1	-0.665550808	0.000205647
S100A11	-0.765452082	0.000211079
FGD5	0.351424074	0.000211079
MCTS1	-1.045747899	0.000211079
PDZD2	1.753847209	0.000211079
NDUFAF2	-0.804771667	0.000212234
CBR1	-0.564031142	0.000212234
SMIM26	-0.901124331	0.000214586
AAMDC	-0.827614223	0.000222416
PSMB2	-0.504814253	0.00022559
PIN4	-0.731632479	0.000235379
RPS6KA2	0.54620246	0.000241052
KHSRP	0.319935584	0.000241499
COX5B	-0.596024978	0.000241499
DBI	-0.649087705	0.000244584
CCNJL	0.481447482	0.000244736
MRPL14	-0.814758806	0.000248384
CTGF	-0.454220699	0.000250175
LAMTOR5	-0.697449683	0.00025414
CYR61	-0.411466354	0.000259966
AC023509.1	0.909673555	0.000281731
THSD1	-0.4396903	0.000289306
RNF181	-0.652802956	0.000293302
CCDC12	-0.717005752	0.000295252
HOXA11	0.504046653	0.000297983
RPS23	-0.664207373	0.000303181
C8orf59	-0.85748015	0.000305937
SLC16A3	0.746986821	0.000311426
AFAP1L1	0.365097646	0.000315536
PLK2	0.459292801	0.00031917
RELL1	0.437594729	0.000322353
C19orf70	-0.90003866	0.000322552
SERF2	-0.893545798	0.000325695
LEPR	0.724744465	0.000331089
DYNLT1	-0.678763714	0.000331185
MRPL41	-0.789991977	0.000334947
RASSF3	0.36923143	0.000342709
MRPS24	-0.770656562	0.000350151
PPP1CB	0.461934987	0.000361389
RPL26	-0.605120496	0.000361784
ACOT13	-0.866213847	0.000363366
PNRC1	0.522992975	0.000363366
FGF16	-0.778147273	0.000374858
RPS14	-0.678200122	0.000383116
CCDC167	-0.870001934	0.000383645
ACTN4	0.39629327	0.000390485
KLF6	0.392112301	0.000401233
CEBPD	0.938279536	0.000406171
BRD3	0.463404845	0.000406852
LAMTOR4	-0.676345667	0.000407847
ARL16	-0.583419563	0.000412603
RPS8	-0.603985948	0.000417565
KDM6B	0.652243325	0.000423876
NAA38	-0.918473064	0.000423876
FAM49A	0.5557234	0.000423876
TMCC3	0.533526821	0.000424473
H2AFZ	-0.559412379	0.000434494
AC008770.1	-1.125400004	0.00044145
SNHG6	-0.87258318	0.000446503
LSM5	-0.798695773	0.000448477
MRPL51	-0.595278678	0.000451689
SLC25A19	-0.709602255	0.000466352
PDCD5	-0.710262751	0.000469752
CGNL1	0.479001122	0.000478239
BRIX1	-0.60512087	0.000483497
SDHB	-0.504027691	0.000494192
PPL	1.02778201	0.000495741
CTDSP1	0.397173024	0.000495741
FHL1	0.471320642	0.000499645
NAT14	-0.650159098	0.000504703
ASPHD2	0.508360547	0.000520979
LSM6	-0.604911032	0.000535385
RRS1	-0.58820146	0.000535385
YRDC	-0.624827583	0.000553331
RPL14	-0.516386925	0.000566015
RABGAP1	0.401015371	0.000568369
RABGAP1	0.401015371	0.000568369
SCAMP1	0.509110309	0.000603829
ALYREF	-0.638998905	0.000610322
DPM3	-0.979923915	0.000617394
TIMP2	0.307800049	0.000623226
NRP1	0.484392302	0.000632543
DYRK4	-0.534099773	0.000644744
LARP6	-0.674274531	0.000655416
CHCHD10	-0.978205533	0.000677396
GDPD5	0.333437786	0.000677396
SERPIND1	-0.633636308	0.000693004
MTUS1	0.441449182	0.000693754
EMP3	-0.561205035	0.000709518
MRPL23	-0.806478942	0.000710571
MRPL23	-0.806478942	0.000710571
ZBTB1	0.525670148	0.000711779
FAM212A	-0.746000053	0.000720725
SATB1	0.905689525	0.000726071
LRP5	0.453367543	0.000726071
MT1X	-1.23503181	0.000730526
N4BP3	0.422232448	0.000730773
HSP90B1	0.316463772	0.000737692
CISD1	-0.649950823	0.0007414
RANGRF	-0.708152915	0.000745749
LAMTOR1	-0.524776495	0.000745749
ZBTB10	0.537077123	0.00075487
RPL35	-0.790355456	0.000754941
ANKS1A	0.311094062	0.000771171
BLOC1S1	-0.714427724	0.000771171
CALCOCO1	0.475278319	0.000772431
TBC1D3H	-1.910490246	0.000782331
PBDC1	-0.501020445	0.000782331
BMT2	0.756073891	0.000782331
FTH1	-0.477225192	0.000782381
SPRY2	-0.594401782	0.000783457
CSGALNACT1	0.698559696	0.000784665
VCAM1	-1.142575862	0.000787382
ANAPC11	-0.74186056	0.00078922
COLEC12	0.370916879	0.000811911
PECAM1	0.563477291	0.000822555
CSNK1A1	0.387176362	0.000835309
ZC3HAV1L	0.754469924	0.000844904
MRPL20	-0.577220718	0.000854844
AP000695.1	0.543233937	0.000862349
MPC2	-0.522072073	0.000864753
GNG5	-0.53761252	0.000870551
SNHG10	-0.736805684	0.000881763
FOXC1	0.482176827	0.000887571
DDR1	0.404783511	0.00090095
SELENOH	-0.605106542	0.00090095
MINK1	0.263102212	0.000901331
KRT7	-0.518412956	0.000903893
C12orf75	-0.59563135	0.000903893
PRKCE	0.509119841	0.000906915
RPL18	-0.637314599	0.000906915
NXT1	-0.763099529	0.00093199
AC020916.1	-0.546596647	0.000941462
NDUFS4	-0.557862854	0.000941491
TCTEX1D1	0.666104655	0.000941491
NOP56	-0.510581715	0.000946605
CD274	-0.585361034	0.000964935
DOK3	0.669426594	0.000981254
VPS35	0.495591199	0.00099076
TTC30A	0.646282224	0.001023201
OST4	-0.612829175	0.001023201
ARRB1	0.453245345	0.001023802
CMC2	-0.721303718	0.001024371
KDM2A	0.370151254	0.00103169
PXN	0.33937837	0.00103169
UQCRB	-0.644478025	0.001042717
ZNRD1	-0.696064581	0.00107131
COX14	-0.804074166	0.001077388
UQCR10	-0.726929126	0.001091968
THOC7	-0.445316218	0.001096888
ABRACL	-0.533222192	0.001097333
LINC00116	-0.945360005	0.001097333
MLLT1	0.390062678	0.001097333
LOX	0.476941377	0.001100549
ZNF593	-0.827616454	0.001103452
MT-CO3	-0.45731465	0.001104944
ZNF654	0.689075115	0.001105593
COX6A1	-0.661209368	0.001110672
ZNF252P	0.560942673	0.001110889
PATZ1	0.370742128	0.001116438
ADGRF5	0.550630846	0.001116438
TMEM160	-0.798656804	0.001116438
PSMG3	-0.756218381	0.001120872
TOMM6	-0.636833783	0.001129053
TBPL1	-0.538472986	0.001137461
C6orf106	0.276819524	0.001140258
ZNF749	-0.690471274	0.001140706
SAV1	0.382097643	0.001140706
AC025569.1	0.934813316	0.001157052
RNF24	0.369680755	0.001162021
PFDN5	-0.583363098	0.001162021
TMOD3	0.441419958	0.001162021
FAXDC2	0.559266541	0.001166204
FBXL14	0.452268484	0.001170396
RPS5	-0.572509885	0.001174705
PFDN2	-0.706686788	0.001175843
DUT	-0.477258223	0.001176868
FAM13B	0.611309727	0.001177557
AC112229.3	0.870482132	0.001188012
CD82	0.467514183	0.001195127
EDNRB	0.560551562	0.001195127
ZNF706	-0.662569001	0.001195127
TRMT112	-0.628168442	0.001195127
SRPRB	0.501173253	0.001195127
MRPS21	-0.687091737	0.001195127
PCLAF	-0.533531017	0.001195613
MRPL57	-0.563687147	0.001196511
EIF3A	0.312606725	0.001210844
PCDH17	1.112634529	0.001210844
YBEY	-0.801741489	0.001232459
PALM2-AKAP2	0.532886195	0.001237809
AC009078.3	0.747859972	0.001239214
THNSL1	0.677570659	0.001253212
IRS2	0.534109373	0.001267398
MMP2	0.32064674	0.001267398
MKRN1	0.355301967	0.001282162
ATP5H	-0.610632465	0.001286567
RPL10A	-0.593152282	0.001312649
COX7A1	-1.033124103	0.001333936
DACH1	0.484950168	0.001338755
TXLNA	0.326306099	0.001344505
LNPK	1.114481454	0.001365047
CARD19	-0.635117801	0.001381294
PNP	-0.416340257	0.001381294
PRAG1	0.453457634	0.001381294
ZNF282	0.356360382	0.001383334
TOX4	0.359503712	0.00140336
SMDT1	-0.692318601	0.00140336
ORAOV1	-0.49914721	0.001404701
SLTM	0.341911719	0.00141476
EIF4B	0.332387764	0.001434174
MRC2	0.453594565	0.001434174
WDR1	0.288285522	0.00147474
ANGPT2	0.391095842	0.001477719
PSMA2	-0.53726804	0.001493197
CELF1	0.333173261	0.001494275
AL139011.2	4.01696893	0.001517768
PLEK2	-0.586476072	0.001529847
SRP19	-0.465834816	0.001553456
CSNK1E	0.371584874	0.001563862
LGALS1	-0.568981702	0.001590873
DUSP23	-0.771568273	0.001609104
MIEN1	-0.693603942	0.001613309
LIMD1-AS1	0.599972577	0.001630594
RAB21	0.483735113	0.001639817
MRTO4	-0.609973441	0.001643176
SNHG17	-0.613728944	0.001646388
GNL2	-0.362138766	0.001647463
INTS3	0.288710804	0.001677049
MICA	-0.436991243	0.001700889
MPZL2	0.362250098	0.001709559
NPTN	0.438111047	0.001721912
RPL18A	-0.685727215	0.001726285
SLC39A6	0.497159021	0.001727813
NNMT	-0.51525106	0.001728416
NARF	0.423824354	0.001743957
PAK1IP1	-0.549253762	0.001768075
NARS	0.413168402	0.001825788
EMC6	-0.632690002	0.001825788
CNPY2	-0.690796704	0.001870985
HYAL2	-0.487904869	0.001872621
EMC8	-0.50173724	0.001888245
GANAB	0.252952885	0.001902726
TMEM47	0.460190555	0.001902726
RNASEK	-0.587716219	0.001922393
C10orf25	0.697190339	0.001956456
TIMM17A	-0.429472656	0.001956456
CNOT6L	0.702778531	0.001958616
SS18L2	-0.693743467	0.001969218
UCHL3	-0.544014332	0.001984403
MYEOV	-0.58862251	0.001984403
RND3	-0.323771502	0.001991771
TPRKB	-0.582537155	0.002001485
NFE4	-0.855368331	0.002015027
IER5	-0.532996169	0.002076074
ZDHHC23	0.847746398	0.002084412
C1orf122	-0.707560307	0.002084412
PSME2	-0.529308856	0.002084412
MAFB	0.694311414	0.002088228
LIMS1	0.514697429	0.002108385
C4orf48	-0.912174912	0.002108385
LAMTOR2	-0.587171505	0.0021212
KIAA0753	0.422731601	0.002130475
LYVE1	0.339977028	0.002130905
OSTC	-0.450782728	0.002144457
SLX4IP	0.557193791	0.002155151
SP3	0.372733316	0.002185283
EBNA1BP2	-0.540366242	0.002189702
SLC43A3	0.414404569	0.002197161
RPS19BP1	-0.65462877	0.002197161
SNHG4	-0.555798438	0.002222067
EMC4	-0.477894736	0.002230318
PIK3IP1	0.365138137	0.002265479
MRPS34	-0.564695661	0.00228103
WRAP73	-0.425072422	0.002281064
AKNA	0.406189121	0.00228186
SAT2	-0.515575899	0.002282089
INO80C	-0.524364038	0.002316235
ANKRD6	0.844773179	0.002316235
MSMP	-0.739794893	0.002316235
PPIB	-0.507180849	0.002318156
PPP1R13B	0.514007847	0.002318156
ESCO1	0.469465554	0.00233113
LY96	-0.659641426	0.002334382
TMEM141	-0.558933606	0.002352778
GTF3C6	-0.515710479	0.002359546
STAU1	0.281455869	0.002361012
TRIM41	0.3542874	0.002372945
ZNHIT1	-0.498805692	0.00239776
MYL12A	-0.443929168	0.002402146
SMIM27	-1.491492635	0.002402146
POLR2H	-0.502057645	0.002402146
SUCLG1	-0.445583929	0.002402146
BYSL	-0.497005193	0.002402506
IER2	-0.530458697	0.002431015
C19orf33	-1.312351581	0.002431015
YIPF6	0.494950465	0.002431015
UBA52	-0.662296073	0.002463973
TSHZ1	0.390901476	0.002524961
SELENOK	-0.54552812	0.002528516
