symbol	log2FoldChange	padj
NDRG1	1.484284735	1.36E-15
TSPAN18	1.432901048	1.54E-15
COL5A1	0.966624551	1.65E-15
NEDD9	1.204449183	1.76E-15
FRAS1	2.726507926	2.29E-15
SMAD7	1.605129058	4.30E-15
ANGPT2	0.997056878	4.51E-15
STC1	1.480338566	7.21E-15
FAM107A	0.847977103	9.31E-15
SH3D21	1.379954879	1.38E-14
KLHL20	1.554571676	2.10E-14
CNKSR3	1.462624562	2.16E-14
PLAC8	1.768461388	5.01E-14
STC2	1.143583531	5.74E-14
FOXM1	-0.75062781	6.20E-14
NNAT	1.838391512	6.23E-14
CDC20	-1.189637858	6.52E-14
CCNY	1.334854474	6.60E-14
PLK1	-0.955062985	7.84E-14
MIR503HG	1.212592213	8.42E-14
PLOD2	1.337329849	8.42E-14
FKBP1A	0.573864834	1.33E-13
MYH9	0.752203085	1.44E-13
SPAG4	1.999006855	2.28E-13
SERPIND1	-1.581194623	2.98E-13
P4HA2	0.890449876	3.23E-13
FBLN2	1.789224992	3.30E-13
NOX4	1.099712956	3.64E-13
PTGIS	1.662887752	4.14E-13
CMIP	0.875951936	5.62E-13
APCDD1L	2.649126834	1.06E-12
MMP2	0.714986582	1.09E-12
SLC6A6	1.266152509	1.42E-12
CCNB1	-1.04747327	1.59E-12
TYMS	-0.909824674	1.83E-12
PCDH10	0.957207397	2.75E-12
PLEKHA5	1.214384439	3.39E-12
STEAP1	-1.391668674	3.54E-12
DLGAP5	-0.831180601	4.43E-12
AQP1	-1.515902736	4.52E-12
COL4A1	1.071789682	4.90E-12
PTPRB	1.436527503	4.90E-12
GINS1	-0.954963675	8.65E-12
MTND2P28	-0.836087857	9.52E-12
TNIP1	0.821500435	1.27E-11
SIRPB2	1.329906862	1.38E-11
SNRPA1	-0.90533083	1.47E-11
GJA4	-4.208924967	1.64E-11
EPB41L3	0.805197825	1.98E-11
RFTN1	0.799034144	2.82E-11
MT-ND2	-1.012506213	3.95E-11
PPP1R3B	0.961698074	4.26E-11
SULF1	1.672539099	4.92E-11
ANKRD37	2.241026414	5.39E-11
TP53I11	0.743936657	6.05E-11
TRIP13	-0.932296367	6.59E-11
CCNB2	-1.051640391	6.76E-11
PPFIA4	5.232560538	6.76E-11
CLDN3	2.37571954	1.14E-10
TACC3	-0.887982114	1.35E-10
HIF3A	1.172059206	2.53E-10
KDM3A	1.207764441	2.59E-10
DHH	-1.313177006	2.85E-10
NQO1	-1.107184538	2.91E-10
IGFBP3	1.533074884	2.91E-10
LDHA	0.87397085	4.43E-10
GLCE	0.980623638	5.04E-10
AC078883.1	1.858054844	5.56E-10
SPIN4	1.233985117	6.43E-10
STX11	1.035146463	6.55E-10
WDR62	-1.086271769	6.73E-10
FAM83D	-0.783070615	6.74E-10
COL4A2	0.790855921	6.84E-10
ANTXR1	0.994108256	9.21E-10
CRIM1	0.810966125	1.32E-09
ADAMTS1	-1.156230327	1.41E-09
HAGLR	0.786955719	1.72E-09
MEGF6	0.940849844	1.98E-09
RPS6KA2	0.949002625	2.63E-09
HK2	0.838710356	2.77E-09
LOXL2	0.709116321	3.05E-09
PBK	-0.897802409	3.36E-09
MGST1	-0.869624467	3.36E-09
VWF	0.748336973	3.80E-09
PDIA5	0.748671642	4.25E-09
TSPAN5	-0.613927319	5.02E-09
TPX2	-0.763328117	5.02E-09
4-Sep	2.741273004	5.07E-09
CSGALNACT1	1.304006937	5.29E-09
AC002480.2	0.921022518	5.30E-09
RASSF2	0.774294271	5.30E-09
DNMBP	0.820693485	5.49E-09
MAFF	0.82374553	7.48E-09
PIK3R1	1.097908699	8.09E-09
ATIC	-0.853933733	9.01E-09
MAN1C1	-1.334398738	9.24E-09
DNAH8	1.665548375	1.03E-08
PPP1R3G	2.809936562	1.04E-08
ADORA2A-AS1	2.684090279	1.09E-08
PSAT1	-0.780862513	1.09E-08
DNAJC9	-0.69355001	1.12E-08
UNC5C	2.380158197	1.26E-08
MAGI1	0.986008849	1.49E-08
BLCAP	0.682082251	1.49E-08
PLA2G4A	-1.102002044	1.61E-08
ODC1	-0.756269785	1.63E-08
FEN1	-1.065439951	1.63E-08
NARF	0.813460471	1.68E-08
CCNA2	-0.635082622	1.83E-08
GDF15	-1.147916082	1.95E-08
TLE4	0.667747066	1.96E-08
MT-ND1	-0.978476406	2.00E-08
ADGRF5	1.020055283	2.23E-08
CDCA3	-1.239460744	2.28E-08
CKS2	-1.016362007	2.34E-08
LFNG	-1.617645341	2.91E-08
4-Mar	0.693274994	3.14E-08
FUT11	0.568962292	3.18E-08
UGCG	0.928251827	3.32E-08
LRR1	-0.988925142	3.41E-08
WDR12	-0.799443189	3.48E-08
CHST15	1.306191135	3.53E-08
ESM1	0.608760334	3.97E-08
H2AFZ	-0.949828075	4.00E-08
FILIP1L	0.88742309	4.17E-08
GBE1	0.640691219	4.32E-08
TCTEX1D1	1.160491016	5.28E-08
UQCC2	-1.024916624	5.83E-08
CNTNAP3B	0.83388453	6.04E-08
DKK3	0.752546887	6.13E-08
GALNT4	0.981472908	6.91E-08
CALD1	0.882470187	6.93E-08
PLOD1	0.725332319	7.00E-08
DUSP1	0.747446429	7.31E-08
WDR77	-0.743943906	7.51E-08
BIRC5	-0.909392443	7.69E-08
SKA3	-0.892095609	8.15E-08
PAM	0.688745971	8.47E-08
MEG3	0.676862897	8.70E-08
AC020978.6	-0.013172566	8.81E-08
C14orf80	-1.228345763	9.38E-08
SORBS2	1.061341659	1.06E-07
EDIL3	0.981849977	1.45E-07
PHF19	-0.689672258	1.45E-07
FOSL2	0.720534775	1.55E-07
VLDLR	1.10974032	1.55E-07
LSM10	-0.90799875	1.56E-07
BGN	0.76267407	1.66E-07
RANBP1	-0.848538137	1.72E-07
MSMP	-1.44868719	1.81E-07
SOX4	0.600818379	1.86E-07
ARHGEF28	0.730265514	1.88E-07
TTLL3	0.777595005	2.06E-07
CACYBP	-0.701121102	2.13E-07
CD82	0.806099892	2.23E-07
U2AF1	-1.236990697	2.35E-07
MORN4	-1.234270359	2.38E-07
COL1A2	0.900210233	2.40E-07
HSPA4	-0.553377787	2.96E-07
ERO1A	0.937209623	3.06E-07
AC025569.1	1.605108066	3.20E-07
AP001189.1	1.59684519	3.24E-07
PCNA	-0.805578165	3.26E-07
ZNF395	0.791544011	3.32E-07
TUBA1B	-0.738410623	3.32E-07
TOMM5	-0.97106652	3.34E-07
KIF19	-2.037229304	3.36E-07
THBS1	0.673849048	3.51E-07
LAMC2	0.925223683	3.74E-07
ZNF436	0.802006647	4.21E-07
NUAK1	0.807573065	4.21E-07
ADGRG6	1.103021783	4.21E-07
NME1	-1.015351296	4.37E-07
PPP1R13L	0.914968588	4.45E-07
BMP4	0.703380873	4.75E-07
MCM6	-0.566760252	5.53E-07
SPOCK1	1.052580888	6.76E-07
TUBA1C	-0.660659516	7.26E-07
SLC25A10	-0.876477349	7.26E-07
FAM219A	0.581432399	7.36E-07
CDC45	-0.829641298	7.36E-07
H1F0	0.496486807	7.36E-07
RLF	0.943745688	7.91E-07
KCNMA1	-1.196163458	8.84E-07
KIF20A	-0.757712639	8.84E-07
MCM2	-0.673235617	9.20E-07
MTMR10	0.917640228	9.58E-07
SPARC	0.420378299	1.06E-06
MRPL22	-0.923160004	1.13E-06
GDF3	-1.393911176	1.15E-06
TNFRSF10D	0.545132193	1.26E-06
SKA1	-0.790327024	1.33E-06
LINC00702	2.730409749	1.49E-06
RSRP1	0.518243161	1.51E-06
PGAM5	-0.707081574	1.61E-06
NCAPH	-0.736872531	1.68E-06
GDF7	1.354898031	1.71E-06
LINC00607	0.70965383	1.71E-06
ACTG1	0.510532781	1.79E-06
PTPRF	0.937511538	1.79E-06
NDUFA12	-0.799056875	1.99E-06
GLRX2	-0.926426316	1.99E-06
PDE4B	0.68064366	2.09E-06
NOTCH4	0.574720506	2.31E-06
ATP5G1	-1.124833661	2.32E-06
NA	0.851756271	2.32E-06
CEP55	-0.646413657	2.32E-06
CAV1	0.543242935	2.34E-06
HNRNPM	-0.584294913	2.38E-06
MAFK	0.709179029	2.38E-06
HYI	0.885056385	2.44E-06
HTR1D	0.728315615	2.49E-06
AURKB	-0.834324107	2.49E-06
POSTN	-0.959160615	2.57E-06
TYRO3	-0.806020337	2.58E-06
ABCA1	1.170732702	2.74E-06
PPL	1.512556153	2.74E-06
CENPA	-1.082161996	2.77E-06
C8orf4	0.785419001	2.77E-06
TUBB4B	-0.758581391	2.78E-06
SLIRP	-1.151083799	3.03E-06
RPL22L1	-1.062214689	3.20E-06
UBE2T	-1.109176553	3.20E-06
MCM3	-0.533600028	3.24E-06
MRPL52	-0.882307453	3.47E-06
FAM136A	-0.55702911	3.47E-06
PTTG1	-0.932206995	3.49E-06
SIAE	0.570053892	3.66E-06
LAMB1	0.57006969	3.66E-06
SAPCD2	-0.879493026	3.78E-06
THBD	-0.699363455	3.82E-06
APLP2	0.43464017	3.82E-06
CTNNB1	0.789735383	3.86E-06
LPCAT2	0.684706735	3.97E-06
MXI1	0.97995502	4.02E-06
TXNDC5	0.43997899	4.19E-06
MT-ATP6	-0.696056724	4.19E-06
HNRNPH3	-0.556028273	4.19E-06
TRIB2	0.566488055	4.43E-06
CTPS1	-0.636646691	4.45E-06
ICAM1	0.551490543	4.52E-06
FRMD6	0.66735359	4.78E-06
NOP16	-0.889137534	4.99E-06
MYBL2	-0.732963284	5.01E-06
SNRPF	-0.943969787	5.11E-06
EEFSEC	-0.851988716	5.15E-06
CCNF	-0.562770195	5.21E-06
SUV39H1	-0.877021486	5.25E-06
TCAF2	0.642626621	5.54E-06
UBE2C	-0.891412344	5.54E-06
TSNAX	0.70722706	5.54E-06
FAM13A	0.857292765	5.54E-06
KPNA2	-0.460084631	5.56E-06
CNTNAP3P2	1.013251618	5.56E-06
MT-CYB	-0.646737109	5.63E-06
TGFB2	1.073422306	5.81E-06
UCP2	-0.968054513	5.96E-06
UHRF1	-0.585054486	5.99E-06
MT2A	-1.134005156	6.01E-06
DDIT4	0.787810032	6.33E-06
MTHFD1	-0.531287549	6.33E-06
HIF1A-AS2	2.769969414	6.42E-06
CDCA5	-0.716024247	6.92E-06
BMP6	0.492491787	6.97E-06
JADE2	0.546952037	7.07E-06
HCG11	0.617152035	7.74E-06
DDR1	0.589923863	7.92E-06
PFKP	0.539682959	7.94E-06
VASH1	0.544198126	8.14E-06
MEGF8	0.507230378	8.23E-06
GPIHBP1	2.358592565	8.23E-06
ZNF280D	0.744014454	8.71E-06
ZNF280D	0.744014454	8.71E-06
STX6	0.46365771	9.90E-06
NDUFS6	-1.009499406	9.97E-06
WASF2	0.545602227	1.02E-05
BID	-0.862680992	1.05E-05
IFRD2	-0.738891573	1.09E-05
ZNF292	0.981025536	1.10E-05
FAM174B	0.545116377	1.11E-05
TIMELESS	-0.587528366	1.11E-05
HSPE1	-1.065794991	1.12E-05
RAD1	-0.713146847	1.15E-05
DDX39A	-0.720647537	1.24E-05
KCNJ2	0.7732332	1.25E-05
GTSE1	-0.670218493	1.30E-05
ANO6	0.826796835	1.32E-05
GANAB	0.380172304	1.32E-05
MRC2	0.673708014	1.32E-05
FARSB	-0.604017743	1.39E-05
PRPS1	-0.693811132	1.40E-05
ANKRD33B	0.728711102	1.42E-05
HSPA14	-0.886110024	1.45E-05
COL5A2	0.574710197	1.46E-05
COA4	-0.748124859	1.51E-05
BCL2L12	-0.897136891	1.51E-05
MYCT1	0.532913773	1.52E-05
BTBD19	0.591612992	1.52E-05
GOLGA8A	0.858642838	1.57E-05
MT-CO3	-0.653567643	1.72E-05
C1QBP	-0.676051011	1.74E-05
HSP90B1	0.432366732	1.74E-05
RPS6KA1	-0.832162984	1.74E-05
TOMM34	-0.545883179	1.74E-05
GTF3A	-0.602886462	1.74E-05
SLC5A6	-0.552451479	1.74E-05
CALCOCO1	0.661015097	1.80E-05
SYT11	0.475792293	1.80E-05
BACH1	1.094421478	1.81E-05
BACH1	1.094421478	1.81E-05
APP	0.422591669	1.86E-05
CHSY1	0.598679875	1.89E-05
GCLM	-0.526746212	2.00E-05
ZDHHC9	0.541918104	2.01E-05
PIF1	-0.884312183	2.01E-05
HNRNPAB	-0.537732308	2.04E-05
CDCA8	-0.603207577	2.04E-05
MYO15B	0.84078139	2.11E-05
NLRP1	0.531100285	2.11E-05
VCL	0.55979316	2.13E-05
SEMA4B	0.817834741	2.18E-05
MYO1E	0.627693255	2.19E-05
CBR1	-0.719869741	2.21E-05
ARPC5L	-0.666621832	2.23E-05
SHCBP1	-0.740122879	2.30E-05
SESN3	-0.945562284	2.38E-05
CCNG2	0.69076056	2.42E-05
FMC1	-1.160689682	2.44E-05
AC009078.3	1.077052727	2.56E-05
NCLN	-0.643242288	2.57E-05
KDM4B	0.553570079	2.60E-05
C15orf52	0.729532446	2.61E-05
EBLN3P	0.634847784	2.61E-05
TMEM43	0.370005785	2.73E-05
CCNA1	-1.004446637	2.74E-05
MT-CO2	-0.681221795	2.75E-05
REPIN1	-0.506318304	2.75E-05
SPAG5	-0.773649092	2.77E-05
RAI14	0.611874826	2.97E-05
SNHG10	-1.053411798	3.08E-05
CDC25B	-0.548813519	3.09E-05
ACTN4	0.512828208	3.10E-05
ACAD11	0.539231962	3.14E-05
ASF1B	-0.767646373	3.19E-05
NDUFV2	-0.72346139	3.19E-05
TNFSF10	-0.763780374	3.19E-05
C8orf58	0.6367728	3.42E-05
CENPX	-0.809324414	3.57E-05
SLC12A4	0.464447237	3.58E-05
CAMK1D	1.942197545	3.58E-05
CLINT1	0.538706885	3.60E-05
CENPW	-1.230148362	3.62E-05
CDC25A	-0.694615753	3.72E-05
BCAR1	0.68339313	3.75E-05
ZNF503	-1.109274954	3.83E-05
SELL	-1.49692766	3.99E-05
TMCC1	0.892280694	3.99E-05
DLL4	0.683466572	4.06E-05
THSD4	0.948687076	4.08E-05
NAXE	-0.731079865	4.25E-05
TOMM40	-0.729282113	4.26E-05
SLC25A19	-0.937488632	4.41E-05
LYAR	-0.627278709	4.42E-05
PDCL3	-0.723525385	4.48E-05
TSEN15	-0.707377115	4.58E-05
PA2G4	-0.466927828	4.64E-05
ZNF252P	0.769983332	4.68E-05
PUS1	-0.725409237	4.71E-05
METTL7A	-0.779545917	4.74E-05
THOC3	-0.504671015	4.79E-05
ENG	0.533363509	4.87E-05
NYNRIN	0.611824039	4.98E-05
VRK1	-0.699378214	5.06E-05
RGS3	0.462420124	5.20E-05
NDUFB9	-0.796084795	5.20E-05
ANXA3	0.549600051	5.37E-05
RUVBL1	-0.519867262	5.43E-05
KIF22	-0.760941119	5.45E-05
DTYMK	-0.810029606	5.46E-05
RACGAP1	-0.603791631	5.51E-05
OAS1	-0.717562667	5.75E-05
AIFM2	-0.814700938	5.75E-05
MRPL27	-0.770299684	5.79E-05
GLA	-0.689428195	5.81E-05
SDC1	-0.9415161	5.86E-05
OAF	-0.621644209	5.89E-05
HIC1	0.633974469	6.04E-05
CDC6	-0.77295656	6.06E-05
DEPDC1B	-0.838791794	6.12E-05
ARHGEF10	0.560291374	6.26E-05
RPS26	-0.892376929	6.28E-05
RPS26	-0.892376929	6.28E-05
CENPV	-0.854528477	6.34E-05
HNRNPA3	-0.460328995	6.38E-05
GCSH	-0.811194292	6.41E-05
TIMM8B	-0.951773492	6.43E-05
KIF4A	-0.487571585	6.44E-05
SSBP1	-0.594843814	6.44E-05
CXXC5	-1.002532533	6.51E-05
GTF3C6	-0.751792631	6.65E-05
SNHG4	-0.808400395	6.80E-05
GLDC	-1.023900828	6.96E-05
RRS1	-0.75158251	6.96E-05
PRSS3	-0.874529144	7.05E-05
PRDX3	-0.439283798	7.05E-05
GAR1	-0.685046058	7.09E-05
SYTL2	2.8237245	7.46E-05
DPYSL2	0.536974609	7.48E-05
ALPK3	0.835254951	7.53E-05
UCK2	-0.572491282	7.54E-05
TCF19	-0.642317253	7.54E-05
CHRNA1	1.049146471	7.54E-05
TMEM123	0.511402768	7.56E-05
KLF6	0.481299764	7.60E-05
AFF3	1.869214913	7.66E-05
SLC43A2	-0.674705939	7.81E-05
PRKCA	0.648782313	7.83E-05
TMEM160	-1.08108429	7.91E-05
BUB1	-0.67345031	7.93E-05
EEF1E1	-0.741910836	7.93E-05
CDKN3	-0.815982294	7.99E-05
MEST	0.737145136	8.11E-05
FAM84B	0.847892293	8.11E-05
EIF5A	-0.651394965	8.16E-05
SFXN2	-0.762381341	8.16E-05
GIMAP7	-0.706875011	8.17E-05
LBH	1.85381244	8.23E-05
MME	0.75384708	8.58E-05
TRAP1	-0.602395184	8.75E-05
CLPTM1L	-0.454322421	8.89E-05
MIS18A	-0.769702753	8.96E-05
SLC7A8	-0.939657456	9.05E-05
PPIF	-0.617995162	9.13E-05
FXN	-0.888801072	9.14E-05
IL1RL1	-0.718235572	9.14E-05
PSRC1	-0.937710471	9.23E-05
TMEM158	1.031488213	9.62E-05
MT-ND3	-0.890654422	9.62E-05
PCDH12	0.871441733	9.62E-05
ORC1	-0.866582954	9.80E-05
C16orf74	-1.125891229	0.000101251
INPPL1	0.358156268	0.000101733
DCAF12L1	1.199169213	0.000102184
NDUFAF8	-0.978515834	0.000102507
NUP93	-0.575884755	0.000103309
C1RL	0.541729015	0.000103309
HSPH1	-0.40846736	0.000104665
HOXD1	0.806537979	0.00010491
MRPL20	-0.740400283	0.00010491
TIMM23	-0.505683662	0.000106879
SLC35E1	0.397850435	0.000107104
ZMAT1	0.910131177	0.000108129
LTV1	-0.568092522	0.000109282
C10orf10	0.704643558	0.000110019
BOLA2B	-1.231514786	0.000113112
BOLA2B	-1.231514786	0.000113112
BOLA2B	-1.231514786	0.000113112
EBP	-0.874360375	0.000114996
LMNB1	-0.485675149	0.000115372
MRPL3	-0.434993667	0.000116515
SAC3D1	-1.069416769	0.000118017
NOC4L	-0.754174018	0.00012439
ZNF469	0.624709167	0.00012439
IKBKB	0.426346035	0.000126902
ZNF532	0.747451141	0.000127411
CUL7	0.441279791	0.000127583
ECE1	0.383440358	0.000128183
EBNA1BP2	-0.743228092	0.000130678
KIF2C	-0.642207602	0.000131445
KLF3	0.61232934	0.000131466
MAD2L1	-0.889567072	0.000131922
HYAL2	-0.658490021	0.000133481
SGIP1	0.883853513	0.000135098
SERTAD4	1.507440109	0.000136485
SEMA6A	-1.153752668	0.00013716
INPP1	-0.526719156	0.000140991
ZC3H7B	0.368698362	0.000151247
MRPL4	-0.721130628	0.000153231
INTS3	0.375929724	0.000153231
ACTN1	0.415968522	0.000153608
NDC80	-0.750059514	0.000155171
ITM2B	0.449870722	0.000156824
KIAA1324L	0.693953761	0.000157699
TNFSF15	0.663871166	0.000161033
NISCH	0.33017327	0.000162478
LMBR1L	0.436671306	0.000162924
FSTL1	0.628587995	0.000162924
ELFN2	0.834123418	0.000163661
THAP7	-0.722278588	0.000174168
GPR176	0.444838187	0.000174168
ECHDC3	-0.866704523	0.000175396
ISCU	-0.651646863	0.000179899
MTMR12	0.624831355	0.000185641
ADAMTS13	0.951936931	0.000185934
PTGFRN	0.450927046	0.000187404
CDH11	0.821040615	0.000188472
HNRNPA2B1	-0.449595782	0.00018867
CYCS	-0.671454068	0.00019336
GINS2	-0.853174909	0.000195161
RAD51	-0.867860973	0.000197518
ZC3HAV1L	0.924822766	0.000198704
TLE2	0.746521364	0.000205388
APOBEC3B	-1.120365096	0.000205915
ACAT2	-0.66337411	0.000210097
CYR61	0.461800737	0.000212841
OS9	0.398837854	0.000214267
PSMB2	-0.563642218	0.000215715
TMEM47	0.600653164	0.000217247
KLF11	0.740295589	0.000217612
MEX3C	0.651996349	0.000219507
FAM107B	0.382280499	0.000222341
PHLDB2	0.588143964	0.000225699
CKS1B	-0.799043991	0.000225997
RNF207	1.555831658	0.000227849
NES	-0.565822423	0.000229634
MAGOH	-0.712274872	0.000231229
TNFRSF11A	0.660381797	0.000236285
HMMR	-0.543901081	0.000237867
PIMREG	-0.809898958	0.000248201
UTP15	-0.754329721	0.000248201
HEATR3	-0.565293294	0.000248582
WRAP53	-0.720040496	0.000249396
MAPKAPK3	-0.50095976	0.000256117
IL13RA1	0.481469856	0.000259805
GMNN	-0.693197039	0.000269088
YIPF5	0.413362872	0.000279199
PSME2	-0.692588948	0.000279595
SGCE	0.538499113	0.000280006
PARVA	0.438853341	0.000280646
SELE	1.129339488	0.000285875
SMAGP	-0.607706197	0.000287123
PDE3A	0.909710276	0.000289406
CDC25C	-0.71538085	0.000291343
SNRPD1	-0.826613465	0.000293254
NDUFA9	-0.635702779	0.00029439
STEAP3	-0.635264174	0.000294995
ZWINT	-0.583369093	0.000295614
CDCA7	-0.507580055	0.000295859
TUFM	-0.590054453	0.000297148
OSBPL3	0.525504895	0.00030813
PXDN	0.756077131	0.000313295
MT1X	-1.506155047	0.00031777
PLXNA3	0.859088111	0.000321674
CNN2	0.474474377	0.000321674
KIFC1	-0.681305029	0.000321674
NOP10	-0.818920945	0.000324326
PAPPA	1.742985871	0.000324326
AURKA	-0.630718005	0.000324326
MAN2A2	0.396671192	0.000324785
EIF4B	0.399634706	0.000325578
ATP6AP2	0.403545735	0.000327791
PPA2	-0.609188336	0.000332658
SEL1L	0.803622997	0.000333731
NOP56	-0.611191791	0.000342995
PFKFB4	0.985832258	0.000349679
UBE2S	-0.974443035	0.00035715
CUTC	-0.700527859	0.000361322
CDH5	0.346324207	0.000361322
COPRS	-0.794459123	0.000363105
PFDN6	-0.767303608	0.000363105
COLEC12	0.434163442	0.000363893
LAS1L	-0.541088141	0.000366464
ALYREF	-0.734146569	0.000366516
ERMAP	0.534407946	0.000370178
C20orf24	-0.619302238	0.000372541
CTDSP1	0.447424925	0.000381436
ZXDB	0.491105764	0.000381436
SCAMP1	0.58226879	0.000381436
PSPC1	-0.461568218	0.000382787
RRM2	-0.466992774	0.00038938
CHD3	0.44269762	0.000391796
FUS	-0.648781903	0.000394605
COX8A	-0.763526508	0.000398391
ITGAV	0.76485604	0.000398391
SEC61B	-0.706590158	0.000401372
STARD7	-0.331281148	0.000406784
NPM3	-0.730089323	0.000408702
SMG6	0.53500875	0.000408702
THOP1	-0.657394901	0.000408807
E2F1	-0.69710814	0.000408807
SPC24	-0.966953157	0.000417418
RNASEH2A	-0.635124789	0.000421981
COL8A1	0.599316093	0.000423738
FPGS	-0.492342582	0.000423738
NEK6	0.561310203	0.000432246
ARL4C	0.500359885	0.000433424
LRRC59	-0.349036879	0.000442199
IFT80	0.555380893	0.00044827
PMP22	-0.43218647	0.000450221
DCUN1D5	-0.582372515	0.000452824
ADAMTS9	-0.683831883	0.000458299
G6PD	-0.415197176	0.000466149
OBSCN	-0.820550193	0.000468287
TROAP	-0.877299833	0.000471954
HASPIN	-0.713273616	0.000471954
PPARG	1.76271201	0.000472588
NDUFAF2	-0.850684406	0.000473579
NDUFC2	-0.819735782	0.000474398
C17orf58	-0.559458574	0.000475407
AKR1B1	-0.514123162	0.000478728
OIP5	-0.945211902	0.000478728
CABLES1	0.400561643	0.000479979
MAIP1	-0.636622957	0.000480305
CDK1	-0.520467289	0.000483625
CCT5	-0.494012538	0.000483625
HSPD1	-0.437118213	0.000485253
ATPIF1	-0.734413183	0.000487231
COMMD4	-0.753535334	0.000487904
RIMKLB	0.458258642	0.000490562
ACOT7	-0.586712251	0.000490562
PDZD2	1.784105923	0.00049331
NDUFS5	-0.687962384	0.00049331
RFC2	-0.674529762	0.000497675
DANCR	-0.618692305	0.000502682
CHAF1A	-0.680211384	0.000516075
PSMA4	-0.558811319	0.000516219
DSN1	-0.571959177	0.000517046
PSMB3	-0.676300013	0.000523297
DNPH1	-0.817362439	0.000523297
GPRC5B	0.441185542	0.000523788
IER3	0.691511111	0.000523788
ERH	-0.67825172	0.000532167
CCDC86	-0.460465037	0.000534258
DLG4	0.472516117	0.000534258
CSE1L	-0.408229501	0.000535239
C20orf27	-0.772647232	0.000541085
MRPL12	-0.72128903	0.000544851
AXL	0.419087757	0.000544851
COX7B	-0.800396698	0.000546013
MRTO4	-0.743525623	0.000549771
CXADR	0.639668909	0.000549771
EMC8	-0.619214784	0.000551171
TCF7L1	0.481721851	0.000551171
BOLA3	-1.079675712	0.000551171
SULF2	0.611132417	0.000551419
SCLY	-0.594685862	0.000551716
MOB3A	0.4892982	0.00055395
PAK1IP1	-0.67795551	0.000563185
CDK4	-0.465129341	0.00056448
MST1	0.986378025	0.00056448
CYC1	-0.651404287	0.00056967
TIMM50	-0.660501447	0.000583611
LEPROTL1	0.60807225	0.000583611
NLRC5	-0.739834728	0.000587958
TIA1	0.632866315	0.000587958
SDCBP2	0.830122388	0.000592265
SERINC1	0.465881019	0.000592265
TXN	-0.71457707	0.000593583
PSMG4	-0.867353623	0.000593583
GPI	0.422557357	0.000596276
AC005944.1	-0.07859128	0.000596276
RANGRF	-0.798276504	0.000596276
CHAF1B	-0.716411392	0.000596276
RGL2	0.43702088	0.000605417
HMGB2	-0.624533652	0.000605427
SCAND2P	0.85044513	0.00062113
WDR4	-0.738742543	0.000627741
DCTPP1	-0.684212718	0.000632814
TNS1	0.803066231	0.000634703
MINOS1	-0.726688909	0.000647773
SARAF	0.404253118	0.000651155
C4orf3	0.441972019	0.000657858
LRP1	0.830203245	0.000657858
GCDH	-0.632340608	0.00066034
CCNL2	0.29269753	0.000666492
ANKRD1	0.451638356	0.000666492
SLC2A10	0.516875081	0.000666492
ATAD3A	-0.5768331	0.000666492
GSS	-0.450656166	0.000680047
DEPDC1	-0.689594176	0.000680047
MGP	-0.800814599	0.000683919
HIRIP3	-0.590220218	0.000684067
